s_id,X,Y,SchoolName,Address,SCH_Level
"3,541",77.18,28.65,Nigam Pratibha Vidyalaya (Girls),"Pyare Lal Road, Karol Bagh New Delhi-110005",Primary
"3,542",77.18,28.65,Nigam Pratibha Vidyalaya (Boys),"Pyare Lal Road, Karol Bagh New Delhi-110005",Primary
"3,543",77.23,28.64,MCD Primary School (Boys),"Bulbuli Khana, Bazar Sita Ram, Delhi 110006",Primary
"3,544",77.23,28.64,MCD Primary School (Boys),"64 Khamba, Maharaja Ranjit Singh Marg, Opp. Gurunanak Eye Hospital, New Delhi",Primary
"3,545",77.24,28.64,Govt. Sarvodaya Kanya Vidyalaya,"Haweli Azam Khan, Asaf Ali Road, New Delhi 110002",Senior Secondary
"3,546",77.22,28.65,Nigam Pratibha Vidyalaya (Boys),"Gali Quasim Jaan, Ballimaran, Delhi-110006",Primary
"3,547",77.23,28.65,MCD Primary School (Boys),"Matia Mahal , Churiwalan, Jama Masjid, Delhi 110006",Primary
"3,548",77.23,28.65,MCD Primary School (Co-ed),"Chitla Gate, Churi walan, Jama Masjid, Delhi 110006",Primary
"3,549",77.20,28.65,C.L.Bhalla Dayanand Model School,"Plot No-7 Jhandewalan Karol Bagh, New Delhi- 110055",Senior Secondary
"3,550",77.21,28.64,MCD Primary School-New (Boys),"Pahar Ganj, Kaseruwalan, New Delhi -110055",Primary
"3,551",77.19,28.66,Nigam Pratibha Vidyalaya (Boys),"Ramjas Lane, Karol Bagh New Delhi-110005",Primary
"3,552",77.24,28.63,Nigam Pratibha Vidyalaya (Co-ed),Kotla Firoz Shah New Delhi-110002,Primary
"3,553",77.23,28.64,Nigam Pratibha Vidyalaya (Girls),"Turkman Gate, Shankar Gali, Asaf Ali Road, Delhi 110006",Primary
"3,554",77.24,28.65,Ramjas Primary School,"4609, Ansari Road, Darya Ganj, New Delhi-110002",Primary
"3,555",77.24,28.64,MCD Nursery School,"Darya Ganj, Delhi-110002",Nursery
"3,556",77.24,28.64,Premwati Public School,1024 Shakti Mandir Darya Ganj New Delhi-110002,Secondary
"3,557",77.24,28.64,Nigam Pratibha Vidyalaya (Girls),"Muftiwalan, Tiraha Behram Khan, Near Shakti Mandir, Delhi 110006",Primary
"3,558",77.24,28.64,Nigam Pratibha Vidyalaya (Boys),"Muftiwalan, Tiraha Behram Khan, Near Shakti Mandir, Delhi 110006",Primary
"3,559",77.22,28.65,MCD Primary School (Co-ed),"Lal Quan, Near Execellier Cinema, Delhi",Primary
"3,560",77.23,28.63,MCD Primary School (Boys),"Rouse Avenue, Mata Sundri Road, New Delhi-110002",Primary
"3,561",77.22,28.65,MCD Primary School (Boys),"Ram Nagar Bhawan, Paharganj, New Delhi-110056",Primary
"3,562",77.22,28.65,MCD Primary School (Boys),"7761/69, Ram Nagar, Gali No. 2, Paharganj, New Delhi-55",Primary
"3,563",77.21,28.65,Arya Vedic Pathshala (Boys),"Multani Dhanda Gali No.2, Pahar Ganj, New Delhi -110055",Primary
"3,564",77.21,28.65,Arya Vedic Pathshala (Boys),"8392, Arya Nagar, Paharganj New Delhi- 55",Primary
"3,565",77.21,28.65,MCD Primary School (Boys),"Multani Dhanda Gali No.10, Pahar Ganj, New Delhi-55",Primary
"3,566",77.18,28.65,Nigam Pratibha Vidyalaya (Girls),"New Dev Nagar, Karol Bagh New Delhi-110005",Primary
"3,567",77.18,28.65,MCD Primary School (Boys),"R.K. Rangwala, Karol Bagh, Delhi",Primary
"3,568",77.19,28.66,MCD Primary School (Boys),"24B-Dev Nagar, Karol Bagh New Delhi-110005",Primary
"3,569",77.24,28.64,MCD Primary School (Boys),"Faiz Bazar, Near Darya Ganj Post Office, New Delhi-110002",Primary
"3,570",77.23,28.65,Prabha Vidya Mandir,"1131, Kucha Harjas Mal, Bazar Sitaram, Delhi-110006",Primary
"3,571",77.23,28.65,Suraj Kanya Shikshalya,"2479-80, Naiwara,  Chawri Bazar,  Delhi-110006",Primary
"3,572",77.20,28.64,Baba Sahib Ambedkar Sec. School,Ambedkar Bhavan Rani Jhansi Road Pahar Ganj  New Delhi-55,Secondary
"3,573",77.19,28.65,Baptist Primary School,"Karol Bagh, New Delhi 110005",Primary
"3,574",77.21,28.65,Nutan Marathi Sr. Sec. School,"Pahar Ganj, Pahar Ganj, New Delhi-55",Senior Secondary
"3,575",77.24,28.65,DAV Public School,"Darya Ganj, New Delhi - 110002",Primary
"3,576",77.22,28.65,Anglo Arabic Model School,"Ajmeri Gate,Delhi",Middle
"3,577",77.24,28.63,Jan Viklang Sansthan School,Vishnu Digamber Marg New Delhi-110002,Primary
"3,578",77.21,28.65,Sant Nirankari Public School,"Paharganj, New Delhi- 110055",Primary
"3,579",77.18,28.63,Bapu Adarsh Vidyalaya,"New Rajinder Nagar, New Delhi-60",Secondary
"3,580",77.18,28.66,MCD Primary School (Boys),New Dev Nagar  Karol Bagh New Delhi-110005,Primary
"3,581",77.22,28.64,MCD Primary School (Co-ed),"915, Chandiwalan, Pahar Ganj, New Delhi -110055",Primary
"3,582",77.22,28.65,Nigam Pratibha Vidyalaya (Co-ed),"Gali Bansi Koyle Wali, Ajmeri Gate, Delhi-110006",Primary
"3,583",77.23,28.64,MCD Primary School (Co-ed),"Angoori Khidki, Gali Himmat Garh, Delhi 110006",Primary
"3,584",77.25,28.64,B. R. Sanskrit Ved Vedang Maha Vidyalaya,"Rajghat Power House, New Delhi-110002.",Senior Secondary
"3,585",77.24,28.64,MCD Primary School (Boys),"Phool Mandi, Berham Khan Marg, Darya Ganj New Delhi-110006",Primary
"3,586",77.24,28.64,Nigam Pratibha Vidyalaya-New (Girls),"Kuncha Chelan, Darya Ganj New Delhi-110002",Primary
"3,587",77.24,28.64,MCD Primary School-New (Boys),"Kuncha Chelan, Darya Ganj New Delhi-110002",Primary
"3,588",77.23,28.65,Marwari Pry. School,"327, Naya Katra, Chandni Chowk, Delhi 110006",Primary
"3,589",77.23,28.65,MCD Primary School-New (Boys),"Matia Mahal, Gali Garhiya, Jama Masjid, Delhi- 110006",Primary
"3,590",77.23,28.65,MCD Primary School (Co-ed),"2726 Bhojla Pahari Churiwalan, Delhi 110006",Primary
"3,591",77.23,28.65,MCD Primary School (Girls)(1st Shift),"880, Haveli Azam Khan, Chitlli Qabar, Delhi-110006",Primary
"3,592",77.23,28.65,MCD Primary School (Girls)(2nd Shift),"880, Haveli Azam Khan, Chitlli Qabar, Delhi-110006",Primary
"3,593",77.19,28.65,MCD Primary School (Co-ed),"Krishna Gali No.7, Dev Nagar  Karol Bagh New Delhi-110005",Primary
"3,594",77.18,28.65,Andhra Education Society Sr. Sec. School,"Prasad Nagar, New Delhi 110005",Senior Secondary
"3,595",77.19,28.65,Shri Guru Teg Bahadur Khalsa Girls Sr. Sec. School,"Dev Nagar, New Delhi-110005",Senior Secondary
"3,596",77.19,28.65,Shri Guru Teg Bahadur Khalsa Boys Sr. Sec. School,"Dev Nagar, New Delhi-110005",Senior Secondary
"3,597",77.19,28.65,Jain Vidya Mandir,"Karol Bagh, Chhapparwala Kuan, Karol Bagh, New Delhi 110005",Primary
"3,598",77.19,28.65,Jain Vidya Mandir Girls Middle School,"Chhapparwala Kuan, Karol Bagh, New Delhi-110005",Middle
"3,599",77.18,28.65,MCD Primary School (Co-ed),"Rameshwari, Nehru Nagar, Delhi",Primary
"3,600",77.18,28.65,Faith Academy Senior Secondary School,"John L. Dorsey Road, Prasad Nagar New Delhi",Senior Secondary
"3,601",77.23,28.64,Guru Nanak Girls Middle School,"Bazar Sita Ram, Kali Masjid, Delhi-110006",Middle
"3,602",77.23,28.65,MCD Primary School (Boys),"Gali Babbu Khan, Bara Dari Ballimaran, Delhi-110006",Primary
"3,603",77.22,28.65,MCD Primary School (Co-ed),"Gali Razia Begum, Hauz Qazi, Delhi 110006",Primary
"3,604",77.23,28.65,Ramjas VDDC School,"2704 Baradari, Ballimaran DELHI-110006",Primary
"3,605",77.09,28.78,G.D.Convent School,"Kh.No-498, Outer Road, Khera Khurd, Delhi-110082",Middle
"3,606",77.00,28.81,MCD Primary School (Boys),Nangal Thakran Delhi-39,Primary
"3,607",77.01,28.83,MCD Primary School (Co-ed),"Harewali, Delhi-110039",Primary
"3,608",77.19,28.70,MCD Primary School (Co-ed),"State Bank Colony G.T Karnal Road, Delhi-110033",Primary
"3,609",77.10,28.74,Govt. Co-ed. Sr. Sec. School,"Shahabad Dairy, Delhi-42",Senior Secondary
"3,610",77.17,28.77,Govt. Girls Sr. Sec. School,"Qadipur, P. O. Alipur, Delhi-110036",Senior Secondary
"3,611",77.18,28.73,MCD Primary School (Girls),"Jahangir Puri, EE Block, Delhi-110033",Primary
"3,612",77.14,28.75,Nigam Pratibha Vidyalaya-Old (Girls),"Samey Pur, Delhi-110042",Primary
"3,613",77.11,28.74,MCD Primary School (Boys),"Shahbad Daulatpur, Delhi-110042",Primary
"3,614",77.16,28.71,MCD Primary School (Co-ed),"BK-2 Shalimar Bagh, Delhi-110088",Primary
"3,615",77.16,28.72,MCD Primary School (Co-ed),"Sahipur Vill., Delhi-110088",Primary
"3,616",77.17,28.71,Nigam Pratibha Vidyalaya (Co-ed),"Bharola Village, Delhi-110033",Primary
"3,617",77.18,28.72,Nigam Pratibha Vidyalaya (Co-ed),"Kewal Park Azadpur, Delhi-110033",Primary
"3,618",77.18,28.70,MCD Primary School (Girls),"Lal Bagh, Azadpur, Delhi-110033",Primary
"3,619",77.20,28.69,MCD Primary School (Co-ed),"New Gupta Colony, Delhi-110007",Primary
